x,y,z,type,volume
1611.232,-2394.962,0,AC,4517.0
2619.224,-2997.284,0,RGC,6583.0
4623.76,-4183.638,0,Rod,2217.0
5810.692,-2778.292,0,Cone,3377.0
6408.91,-2773.432,0,MG,5466.5
6809.45,-2935.092,0,Rod,4593.5
7211.34,-3187.202,0,Rod,2434.0
7613.122,-3804.52,0,AC,6414.0
8812.15,299.954,0,RGC,3156.0
9009.18,-353.83,0,AC,3561.0
9409.342,1340.076,0,AC,6435.0
9408.1,-932.824,0,MG,5844.0
4209.288,2138.726,0,RGC,5089.5
5614.796,2001.906,0,AC,1967.5
12.258,394.238,0,Rod,5210.5
207.614,435.154,0,MG,4404.0
819.656,3345.854,0,RGC,4883.5
1623.22,1474.034,0,RGC,2590.5
1876.14,6821.6,0,Rod,6220.5
1902.06,6607.468,0,Rod,2270.0
2609.504,5629.592,0,BC,4617.5
4216.74,5464.098,0,AC,1409.0
4607.668,5721.554,0,RGC,5937.5
5007.344,6240.122,0,MG,6132.0
7241.688,5244.658,0,MG,1795.0
9409.558,4622.41,0,AC,5542.5
41.688,-3190.658,0,Rod,2304.5
211.718,-2637.406,0,Cone,9954.0
409.01800000000003,-2779.426,0,Rod,2677.0
1834.236,-2398.904,0,AC,6636.0
2466.042,-2863.272,0,RGC,5561.5
2625.002,-3000.956,0,RGC,3764.0
2828.836,-3200.092,0,AC,4667.5
3010.8,-3380.56,0,Rod,3356.0
4627.324,-4165.44,0,Rod,2395.5
4808.424,-3578.184,0,Rod,2793.0
5813.77,-2785.798,0,Cone,1966.0
6410.584,-2782.018,0,MG,6929.0
7006.858,-3142.22,0,MG,4967.0
7409.99,-3344.164,0,Rod,4775.0
7676.734,-4514.302,0,AC,6328.5
7615.012,-3880.822,0,AC,3225.5
8832.022,-192.262,0,Rod,3381.0
8816.254,290.558,0,RGC,3310.0
9012.69,-273.262,0,AC,6059.5
9410.692,1402.662,0,AC,5604.5
9612.096,1620.142,0,Rod,3013.5
3353.792,1195.372,0,Rod,3085.5
4219.818,2205.254,0,AC,6998.0
5209.612,2323.12,0,BC,4431.0
5814.904,2061.884,0,Rod,1782.0
6188.73,1407.792,0,Rod,1295.5
6065.178,1609.898,0,AC,4207.0
6208.586,1381.98,0,AC,6316.0
6275.546,1138.564,0,RGC,3769.0
6324.254,907.514,0,RGC,2707.0
6291.746,365.24,0,AC,3991.0
12.366,407.198,0,Rod,1745.0
208.046,428.026,0,BC,4528.0
409.666,423.112,0,BC,5505.5
1209.774,3198.612,0,MG,4907.0
1426.406,2777.228,0,RGC,2875.5
1628.188,1470.308,0,AC,7976.5
1891.422,6817.334,0,Rod,1758.0
1904.382,6603.31,0,Rod,3127.0
2007.614,6453.676,0,BC,4610.0
2215.822,6016.632,0,BC,3095.0
2253.136,5793.428,0,Rod,2513.5
2512.752,5610.006,0,Cone,3488.5
2410.152,5841.202,0,AC,3545.5
2617.334,5626.838,0,HC,3798.0
4812.258,5935.81,0,AC,4064.5
5008.37,6215.822,0,MG,4181.0
7106.056,5601.582,0,Rod,3133.0
7212.258,5005.524,0,Rod,2071.5
7243.038,5236.72,0,AC,2844.5
8208.748,4245.792,0,AC,3423.5
9272.144,4608.586,0,AC,3914.5
1612.69,-2430.008,0,RGC,3258.5
1810.368,-2329.26,0,BC,3718.0
2468.526,-2789.832,0,AC,3479.5
2433.102,-2570.354,0,Rod,2756.0
2623.976,-2783.692,0,Rod,1211.0
2648.762,-3027.74,0,RGC,4873.0
2831.05,-3204.142,0,AC,3585.0
3010.8,-3772.46,0,Rod,5284.5
4628.89,-4184.88,0,Rod,2354.5
4613.824,-4232.87,0,Rod,3049.0
6010.854,-2764.252,0,Rod,2895.0
6210.908,-2765.224,0,Rod,3299.5
6810.26,-3006.3559999999998,0,BC,3838.0
7407.074,-3473.316,0,MG,5947.5
7617.172,-3797.014,0,BC,3263.5
8810.476,621.6,0,BC,2852.0
9039.204,-598.364,0,Cone,3279.5
9407.938,-951.454,0,BC,5241.5
9838.448,1587.974,0,RGC,4683.0
10009.126,-1409.272,0,Rod,5986.0
3353.684,1201.69,0,Rod,2273.0
4812.366,2424.516,0,Rod,2969.5
5623.436,2005.254,0,AC,2815.0
6280.73,1133.11,0,AC,3799.0
6313.346,493.096,0,AC,7844.0
6308.54,386.354,0,AC,4817.5
29.16,404.98400000000004,0,Rod,3595.5
410.584,437.638,0,AC,4538.5
608.1,427.378,0,Rod,3475.0
859.346,3406.928,0,BC,1910.0
1008.424,658.968,0,AC,5557.0
1212.474,3191.97,0,AC,4696.0
1431.914,2777.768,0,AC,4598.0
1420.034,1210.314,0,RGC,8241.0
1408.694,1077.274,0,HC,5320.0
1633.426,1463.774,0,RGC,2332.0
1689.91,2006.712,0,AC,2846.0
1892.34,6824.624,0,Rod,1687.0
1904.112,6588.352,0,Rod,2354.5
2012.42,6201.204,0,Rod,3492.5
2015.552,6846.926,0,RGC,2431.5
2216.686,6050.706,0,MG,1207.5
2253.622,5781.98,0,Rod,2243.5
2516.37,5604.93,0,Rod,5006.0
2410.692,5826.352,0,MG,3310.5
2618.684,5633.318,0,BC,5527.5
5007.236,6167.292,0,HC,5266.5
7108.216,5595.426,0,Cone,3022.0
7216.146,5002.716,0,Rod,3028.0
8009.288,4296.282,0,MG,5172.5
8210.26,4253.244,0,AC,5603.0
8410.206,4267.716,0,AC,4058.0
9409.342,4615.714,0,AC,2661.5
9609.72,4635.802,0,Cone,4835.5
-98.696,-3695.78,0,Rod,4930.0
46.602,-3186.986,0,Rod,4186.0
807.236,-2615.428,0,Cone,3939.5
1212.15,-2387.148,0,Rod,3821.0
1409.234,-2407.166,0,MG,4254.0
2010.53,-2367.33,0,AC,5211.5
2472.63,-2793.828,0,AC,3611.5
2627.378,-2781.424,0,Rod,1035.5
2832.454,-3193.18,0,BC,5209.5
3012.474,-3390.928,0,Rod,3511.0
4619.602,-4237.244,0,Rod,3935.0
4811.826,-3590.874,0,Rod,3635.5
5814.85,-2780.452,0,Rod,2782.0
6009.288,-2830.494,0,AC,3428.0
6011.502,-2773.0,0,Rod,3210.0
6210.8,-2756.638,0,Rod,1995.0
6212.96,-2810.514,0,BC,4109.0
6411.286,-2790.712,0,MG,5871.0
6611.124,-2824.068,0,RGC,4976.0
6654.108,-3000.146,0,AC,8115.5
6810.152,-3036.65,0,AC,3642.0
7009.072,-3068.402,0,Cone,4953.0
7020.034,-3222.07,0,AC,5359.0
7412.906,-3383.044,0,Rod,3218.5
7682.62,-4468.996,0,AC,6540.0
7621.978,-3803.116,0,AC,4484.5
8924.902,-397.284,0,Rod,1254.5
8834.128,-201.82,0,Rod,3013.0
8818.846,296.498,0,RGC,2766.5
9011.826,1030.294,0,Rod,2699.5
9012.15,-388.174,0,BC,3413.5
9042.39,-607.436,0,Rod,3463.0
9207.614,-723.59,0,BC,8573.5
9418.954,1345.314,0,AC,1361.5
9407.992,-986.068,0,Rod,4162.5
9846.386,1592.78,0,AC,4940.0
10013.608,-1402.306,0,Rod,3978.5
10210.098,1597.1,0,MG,5320.5
3357.626,1189.594,0,Rod,5844.0
3371.558,1416.2,0,Cone,1821.0
3613.716,2011.394,0,Rod,2224.5
4237.908,2157.518,0,AC,5534.5
4813.716,2413.662,0,Cone,2025.5
5211.772,2317.18,0,AC,6857.5
5425.488,2131.382,0,RGC,5613.5
5624.786,1924.902,0,RGC,4173.0
6083.376,1603.742,0,AC,3489.5
6211.718,1396.938,0,MG,5955.5
6322.526,737.808,0,AC,2846.5
6308.594,373.01599999999996,0,AC,4941.5
6408.532,1038.934,0,Cone,2851.5
33.696,402.176,0,Rod,3478.5
9.072,446.44,0,Rod,4000.5
872.252,3407.938,0,BC,3614.0
1168.318,3171.234,0,RGC,5160.5
1215.012,3117.72,0,RGC,6849.0
1425.272,1224.138,0,AC,10161.5
1608.046,1354.008,0,AC,5909.5
1640.392,1486.94,0,RGC,3256.5
1683.7,2121.662,0,RGC,4503.5
1892.988,6832.022,0,Rod,1884.0
1906.002,6592.51,0,Rod,2188.0
2008.1,6470.74,0,BC,3838.0
2019.332,6858.05,0,RGC,2442.0
2221.114,6007.29,0,AC,4065.5
2253.892,5787.92,0,Rod,1772.0
2519.556,5600.286,0,Rod,1887.5
2411.826,5917.504,0,AC,3400.5
2623.112,5623.976,0,BC,6232.5
2817.01,5435.532,0,BC,2007.5
3611.286,5265.988,0,Rod,3627.0
5011.178,6224.894,0,BC,4724.5
5008.586,5941.858,0,Rod,4031.5
7105.678,5684.888,0,Rod,2388.5
7108.702,5609.682,0,Rod,3161.0
7217.658,5008.602,0,Cone,2920.0
8010.26,4287.588,0,BC,5653.0
8847.466,4417.928,0,AC,4135.5
9610.854,4642.984,0,Cone,3636.0
-98.264,-3644.696,0,Rod,2688.5
9.45,-3250.906,0,Rod,6098.5
407.29,-2811.594,0,Rod,4567.5
1007.56,-2434.76,0,Rod,4645.5
1409.936,-2414.456,0,AC,2922.0
1811.772,-2342.868,0,AC,4174.0
2040.824,-2420.666,0,AC,2518.5
2014.364,-2361.768,0,MG,3504.0
2209.126,-2608.84,0,BC,3538.0
2471.658,-2873.91,0,RGC,3718.5
2835.856,-3207.112,0,AC,5317.0
3011.934,-3374.998,0,Rod,2320.0
3008.424,-3753.29,0,Rod,2620.5
4629.538,-4175.7,0,Rod,1599.0
4619.008,-4244.426,0,Rod,3517.5
4813.068,-3575.052,0,Rod,3337.5
5208.586,-3224.662,0,BC,5130.5
5411.826,-2983.098,0,Rod,3787.0
5656.754,-3013.43,0,RGC,10465.5
6013.716,-2824.932,0,AC,5224.0
6012.312,-2784.772,0,Rod,2855.0
6212.258,-2818.236,0,MG,2988.0
6612.528,-2809.542,0,AC,7605.5
6652.866,-3009.866,0,RGC,4462.5
6812.582,-3014.51,0,BC,5390.5
6811.502,-2928.288,0,Rod,4719.0
7009.45,-3148.106,0,BC,4877.0
7207.83,-3308.2,0,MG,6466.0
7415.282,-3390.982,0,Rod,5509.5
7408.478,-3455.874,0,BC,6967.0
7621.762,-3811.486,0,AC,6575.0
8927.494,-392.856,0,Rod,2932.0
8833.264,-197.662,0,Rod,1060.5
8820.574,252.65,0,RGC,4677.5
8840.932,508.0,0,AC,6183.5
8812.906,664.962,0,Rod,4044.5
9119.718,1291.314,0,Rod,2354.0
9007.29,-440.15999999999997,0,Rod,4200.0
9041.85,-617.534,0,Rod,1673.5
9210.098,1197.802,0,BC,4389.0
9421.384,1349.958,0,AC,3740.5
9408.856,-910.63,0,AC,5201.5
9615.174,1613.824,0,Rod,2638.0
9809.126,1676.896,0,Rod,3013.5
10012.366,-1417.048,0,Rod,3364.0
10216.632,1587.92,0,MG,5075.0
10208.424,-1350.752,0,AC,4348.0
3354.818,1285.536,0,Rod,2053.5
3435.532,1612.798,0,Rod,2967.0
3809.072,1930.1399999999999,0,RGC,4365.0
4018.144,2213.176,0,Rod,2628.0
5212.798,2334.406,0,BC,2787.5
5626.568,1932.786,0,RGC,3247.0
5852.164,2015.66,0,Rod,4649.0
5857.024,1758.652,0,RGC,5715.5
6205.0380000000005,1397.154,0,AC,3727.0
6088.182,1599.692,0,AC,5074.0
6065.124,1820.304,0,Rod,1945.5
6212.366,1378.632,0,AC,6014.0
6287.642,1208.3319999999999,0,AC,4444.5
6335.756,918.26,0,RGC,1878.5
6317.288,511.88800000000003,0,AC,8829.5
6307.244,337.052,0,MG,2732.0
-113.114,461.074,0,MG,2057.5
45.576,405.578,0,Rod,2691.0
414.418,474.682,0,RGC,8842.0
609.072,461.452,0,MG,5062.5
609.882,392.996,0,Rod,2208.0
1168.912,3176.58,0,RGC,2516.5
1113.454,812.96,0,AC,5241.5
1010.314,637.962,0,BC,4941.5
1207.452,874.844,0,AC,5624.0
1319.988,1063.774,0,AC,7054.5
1323.444,3000.286,0,AC,8031.5
1214.85,3204.93,0,MG,4214.0
1451.138,2753.846,0,AC,4619.0
1573.502,2604.984,0,AC,4938.5
1652.488,1486.94,0,RGC,7073.5
1687.75,2028.728,0,RGC,3772.5
1929.33,1363.944,0,Rod,16504.5
1893.096,6820.844,0,Rod,1777.0
1890.396,6743.262,0,Rod,1391.5
1907.838,6595.426,0,Rod,2665.0
1946.988,6412.382,0,Rod,3565.0
2015.606,6195.696,0,Rod,3332.5
2009.342,6431.644,0,BC,5403.5
2255.566,5778.362,0,Rod,3140.5
2522.364,5612.436,0,Rod,3908.5
2412.96,5818.522,0,BC,3900.0
3611.232,5214.04,0,Rod,1992.0
3808.856,5248.654,0,Cone,3027.5
3819.494,5190.35,0,Rod,11207.5
4407.614,5555.25,0,BC,3852.5
4610.044,5659.778,0,MG,4425.0
4815.93,5938.456,0,RGC,3922.0
5058.482,6482.08,0,Rod,7812.0
5012.582,6245.522,0,AC,5535.0
7108.108,5679.488,0,Rod,2567.0
7108.378,5567.886,0,Rod,2545.0
7217.442,4994.292,0,Cone,2019.5
7207.56,5952.982,0,AC,4013.5
7207.56,6038.718,0,Rod,3255.0
7608.424,4663.666,0,BC,3626.5
7812.42,4378.47,0,Rod,1723.5
8213.446,4234.992,0,BC,2801.5
9011.016,4413.878,0,BC,4246.5
-86.492,-3586.23,0,Rod,5171.0
-97.94,-3686.114,0,Rod,3503.0
49.356,-3180.398,0,Rod,3652.5
209.666,-2964.36,0,Cone,4033.0
1206.48,-2465.432,0,AC,5038.5
1635.586,-2391.398,0,AC,4915.0
1846.548,-2398.634,0,RGC,4226.5
2042.174,-2408.84,0,AC,2142.5
2013.824,-2351.616,0,BC,3384.0
2210.854,-2637.082,0,AC,5799.5
2375.23,-2790.534,0,RGC,3009.0
2473.494,-2800.524,0,AC,3883.0
2941.426,-3622.826,0,RGC,4979.0
2839.15,-3198.526,0,MG,4007.0
3015.984,-3382.558,0,Rod,2263.5
3009.072,-3696.968,0,Rod,2431.5
4632.076,-4179.48,0,Rod,2956.0
4622.464,-4291.19,0,Rod,3484.5
5009.288,-3441.24,0,AC,4012.5
5209.018,-3231.79,0,BC,5124.5
5209.126,-3125.534,0,Rod,3151.5
5412.042,-2989.308,0,Cone,3498.5
5668.472,-3017.912,0,RGC,10573.0
6014.418,-2818.938,0,BC,3193.0
6014.472,-2791.036,0,Cone,6350.5
6212.744,-2828.172,0,AC,2741.5
6613.014,-2842.698,0,AC,6652.0
6664.368,-3011.702,0,RGC,7636.5
6812.312,-3028.442,0,RGC,5172.0
6812.474,-2945.19,0,Rod,3955.0
7249.464,-3187.364,0,Cone,3277.5
7414.58,-3376.024,0,Rod,3286.0
7700.548,-4596.852,0,AC,5428.5
7625.542,-3797.014,0,BC,5676.0
8928.304,-401.874,0,Rod,2919.5
8833.696,-207.328,0,Rod,1663.0
8841.688,521.878,0,AC,3217.0
8957.572,882.026,0,Rod,3254.0
9123.39,1293.258,0,Rod,3202.0
9012.906,1012.906,0,Rod,2531.0
9016.308,-266.836,0,RGC,5097.5
9043.2,-595.664,0,Rod,2029.0
9210.476,1189.702,0,AC,2587.0
