x,y,z,type,volume
5209.828,20.358,0,AC,4875.0
9807.452,1649.14,0,BC,3882.5
12245.576,3031.05,0,RGC,4901.0
3232.13,7603.202,0,Rod,1914.5
5808.532,7081.324,0,RGC,3955.5
-2384.178,5592.294,0,Rod,3848.5
-2385.636,5627.0,0,BC,5030.5
-2183.098,5158.814,0,Rod,1752.0
-1592.278,4877.382,0,AC,4994.5
412.69,6399.368,0,AC,1907.0
8212.744,-5645.776,0,RGC,3971.0
8413.5,-5583.368,0,AC,1878.0
-1364.252,-1263.758,0,AC,3608.0
-585.258,-563.118,0,AC,5290.5
-381.262,186.462,0,AC,7037.5
3513.994,406.28,0,Rod,3089.0
3819.602,243.09199999999998,0,RGC,774.0
5211.016,30.402,0,AC,5557.5
6271.334,1438.34,0,AC,5619.0
9809.612,1640.716,0,MG,2955.0
3236.666,7582.952,0,Rod,2094.0
5421.168,6661.074,0,Rod,1379.0
5820.25,7097.092,0,AC,5030.0
-2385.636,5640.824,0,BC,4172.5
-1159.392,4752.7119999999995,0,Rod,1422.0
-585.636,4908.162,0,Rod,2781.5
411.34,5940.67,0,AC,7160.0
431.752,6329.006,0,AC,5552.5
8217.172,-5681.956,0,AC,5550.0
8815.93,-5133.742,0,AC,3687.5
-583.908,-554.91,0,AC,2866.5
3420.574,590.782,0,Rod,2730.0
3670.956,204.228,0,Rod,1869.5
3832.238,235.046,0,RGC,952.5
5122.958,24.732,0,AC,2384.5
5613.554,209.18,0,AC,5659.0
6268.418,1366.698,0,MG,3094.5
6413.824,1309.512,0,Rod,2535.0
9567.67,1811.302,0,Rod,1950.0
9809.72,1715.074,0,RGC,4011.0
10815.444,1434.452,0,AC,4674.5
12246.008,2262.316,0,AC,3666.5
3237.746,7587.434,0,Rod,3145.5
5825.812,7015.336,0,AC,3549.5
6079.11,7956.816,0,AC,3495.0
-2382.612,5621.87,0,BC,2971.0
-2181.694,5166.59,0,Rod,2570.5
-1590.712,4932.246,0,RGC,5844.5
-1156.962,4748.986,0,Cone,2177.5
-568.518,4918.422,0,Rod,2185.0
437.584,6119.826,0,AC,3594.0
432.238,6299.738,0,AC,3679.5
8221.924,-5684.116,0,AC,2451.5
8419.494,-5582.72,0,AC,4092.0
8643.794,-5390.766,0,AC,4178.0
2210.53,-7158.744,0,AC,2411.0
3276.842,-5284.008,0,AC,2983.0
3339.104,988.352,0,Cone,3008.5
3421.924,600.2860000000001,0,Rod,3533.0
3659.562,427.54,0,RGC,2607.0
4007.938,64.692,0,AC,5345.5
4444.712,-199.552,0,Rod,1716.0
5125.226,16.794,0,RGC,3782.5
5211.772,12.204,0,BC,2272.5
5409.18,-5.437999999999988,0,Rod,3405.5
9810.8,1634.614,0,BC,2066.0
12265.178,2900.494,0,RGC,3516.0
3237.746,7594.4,0,Rod,3870.5
5902.816,7336.782,0,RGC,3352.5
5828.62,7008.64,0,AC,3226.0
6079.11,7949.742,0,AC,5770.5
6084.834,8272.738,0,BC,1515.5
-2198.418,5187.92,0,Cone,2261.5
-2382.612,5634.938,0,AC,1912.5
-1153.452,4751.956,0,Rod,2961.0
-713.276,4884.51,0,Rod,437.0
-568.842,4911.834,0,Rod,1905.0
428.188,5814.148,0,AC,4167.5
442.012,6103.032,0,AC,5474.0
434.452,6246.008,0,RGC,2775.0
7211.394,-5756.044,0,AC,3042.5
8226.19,-5677.582,0,AC,5582.5
8421.816,-5590.172,0,BC,4176.5
8817.01,-5118.514,0,AC,3625.5
2212.042,-7180.074,0,BC,3172.0
2209.936,-7257.98,0,Rod,3746.5
-1358.69,-1256.576,0,AC,2950.0
-467.052,-184.556,0,AC,2947.0
3521.662,399.476,0,Rod,3357.0
3676.41,204.552,0,Rod,2953.5
3817.55,236.34199999999998,0,RGC,4158.0
3908.972,9.951999999999998,0,Rod,2771.0
4007.938,44.711999999999996,0,BC,4633.5
5127.008,23.382,0,AC,2533.0
5212.906,68.634,0,AC,5067.0
5571.612,225.164,0,AC,3687.0
5410.8,-1.009999999999991,0,Cone,1301.0
5616.686,254.918,0,RGC,2843.0
6274.844,1253.406,0,Rod,3584.0
9412.636,1832.508,0,Rod,5398.0
9575.554,1805.578,0,Rod,3449.0
9734.352,1601.258,0,Rod,2242.5
9811.772,1628.62,0,BC,3239.0
3238.016,7601.582,0,Rod,3251.5
3642.282,6799.8,0,Rod,3574.5
3900.872,6608.386,0,Rod,2983.0
4508.702,6612.312,0,Rod,1681.0
4840.284,6670.524,0,Rod,2677.0
5227.108,6695.148,0,Rod,1758.0
5625.218,6814.742,0,AC,3668.0
5828.728,7021.276,0,AC,4549.5
6082.674,7972.746,0,RGC,6792.0
6068.31,8204.12,0,AC,4269.0
6087.372,8250.49,0,AC,2780.0
-2192.494,5256.268,0,Rod,4841.5
-1152.264,4757.464,0,Rod,1151.5
-677.852,4893.798,0,Rod,1064.0
-563.874,4915.074,0,Rod,3106.5
444.604,6116.37,0,AC,2941.0
434.776,6307.622,0,AC,4835.5
421.762,6572.53,0,BC,6198.0
7215.444,-5749.888,0,AC,5021.0
8232.832,-5674.612,0,AC,2995.0
8421.924,-5576.888,0,AC,1350.0
8648.438,-5383.53,0,AC,2894.0
8819.494,-5127.532,0,AC,2865.0
9009.828,-4990.496,0,Rod,5163.5
2212.69,-7171.488,0,MG,5785.0
2209.612,-7252.58,0,Rod,1600.0
3277.004,-5297.616,0,AC,3181.0
-1358.906,-1266.89,0,BC,4203.0
-506.688,-358.42,0,AC,3957.5
-578.454,-554.532,0,AC,2938.0
-360.31,203.742,0,AC,5555.0
3339.968,973.826,0,Rod,3138.5
3424.138,586.84,0,Rod,2528.5
3677.058,198.72,0,Rod,1744.5
3838.286,226.46,0,AC,15669.0
4010.098,36.45,0,BC,5262.5
4237.8,41.525999999999996,0,RGC,13251.0
4450.058,-202.036,0,Rod,2990.0
5141.642,18.09,0,RGC,4696.0
5212.798,52.866,0,AC,5420.5
5578.362,241.256,0,RGC,2928.5
5412.366,6.927999999999997,0,Rod,2241.5
9578.524,1794.508,0,Rod,1809.5
9735.0,1609.304,0,Rod,1878.0
12292.664,3025.326,0,AC,3276.5
12267.554,2947.312,0,RGC,1735.5
3240.338,7578.47,0,Rod,2728.0
4646.764,6635.208,0,Rod,1628.5
4846.494,6664.584,0,Rod,1801.0
6085.968,7988.028,0,RGC,2251.0
6088.776,8269.498,0,BC,2613.0
-2378.67,5628.404,0,MG,2624.5
-2190.334,5238.556,0,Rod,3346.5
-2152.21,5206.982,0,Rod,2377.0
-2013.268,4995.264,0,Rod,2109.0
-1990.118,5082.62,0,Rod,2556.5
